zoho_item_id,name,sku,description,price,stock_quantity
6642928000000163624,UV Flashlight & Normal Flashlight In One,,"Light,Pet urine,stains & bed bugs detector",30000,2
6642928000000163660,Greenleaf Powder Fly Killing Bait,,"Attract flies and kills, suitable for indoor",500,72
6642928000000163691,Flyforce,,fly killing insecticide Baiut formulation,500,23
6642928000000163722,Dfortune Rat killer,,kills all rat at a single eat,500,14
6642928000000163753,Anion 40SC,,Systemic Insecticide Against Capsid Bugs,25000,2
6642928000000163784,Bedbug Killer Powder,,long lasstuing and odourless,7000,6
6642928000000163815,Imi Force,,Active ingredent: IMIDACLOPRID 200G/L,4500,3
6642928000000163826,Royamila,,Active ingredent: IMIDACLOPRID 200G/L,3000,1
6642928000000163857,Premise 200SC,,Bayer Insecticide,40000,0
6642928000000163888,Kukbo ULTRA,,Eliminating Nasty Roaches and Ants,18000,4
6642928000000163919,Maxforce,,insecticide gel bait for german cockroaches,55000,2
6642928000000163950,ZAPPERCIDE,,Tracking powder,110000,1
6642928000000163981,Trapcoll,,No poisonous glue for killing rat,9000,9
6642928000000164012,Effect,,Fly insecticicide,800,71
6642928000000164043,Pestox,,The powder insect killer,1000,15
6642928000000164074,Mosquito Bits,,Quick kills Mosquitoes before they kill,50000,1
6642928000000164105,Gardia,,Mosquito Repellant Cream,500,2
6642928000000164136,Rodelon Blocks,,For rat control and mice,5000,0
6642928000000164167,Contrac,,Rodenticide Ready to use place pacs,5000,5
6642928000000164198,Fly Trap Catchmaster (Big),,Disposable,25000,0
6642928000000164229,Bioclean Septic,,Advance Biotechnology for septic maintenance,15000,-2
6642928000000164260,Quickbayt Spray,,Insecticide for fly,25000,6
6642928000000164291,Mosquito Dunks,,Floating Sustained Released Larvicide,6000,19
6642928000000164322,Fly Catcher (small),,Disposable,15000,0
6642928000000164353,No Fear,,Snake Repellant,1500,0
6642928000000164384,Bedbug Killer Spray,,kills prevent protect,10000,7
6642928000000164415,Greenleaf Powder Cockroach and Ant,,Cockroach killer,500,48
6642928000000164448,Bait Gun,,bait gun,40000,8
6642928000000164479,Fumisect,,Mist Spray  Insecticide,3800,8
6642928000000164510,Green Ant Bait Station,,Green Ant Bait Station,10000,1
6642928000000164541,Fly Bait Station,,Fly Bait Station,7000,0
6642928000000164572,AL-CYPERNET 10SC,,For control of of crawling and flying insect,35000,2
6642928000000164603,No Fly Zone,,for rapid knock down,10000,1
6642928000000164634,Fostoxin,,Fumigation Tablet,7000,0
6642928000000164665,Weedol Root Killer,,kills weed to the root,15000,0
6642928000000164696,Cockroach Killing Bait Powder (Canye),,Powerful and effective Home Defense,300,31
6642928000000164727,Roundup Turbo,,Herbicide,8000,3
6642928000000164758,Slug & Snail Killer Doof,,shower proof upto 10days,35000,5
6642928000000164789,Slug & Snail Killer Petshield,,shower proof upto 10days,25000,3
6642928000000164820,Butane Battery,,for use in portable gas appliance,7000,1
6642928000000164851,Kriskolins Powder,,kills cockroach and ants,200,31
6642928000000164882,Snake Repel BlosFields,,Snake Repel Blos field,17000,0
6642928000000164913,snake -a-way Hose -END Sprayer,,snake repelling spray,75000,1
6642928000000164944,Mortein,,multi insect killer,6000,0
6642928000000164975,BNC,,Mosquito Spray,3500,7
6642928000000165006,snake -a-way,,snake repelling granules,110000,1
6642928000000165037,Viva Refuse Sacks (BIG),,Refuse Sacks (heavy duty),1500,-2
6642928000000165068,Refuse Sack (Viva Standard size),,Refuse Sacks,800,33
6642928000000165099,Refuse sack (ROYAL MASTER KING),,home and offive use,1200,12
6642928000000165130,Windolene,,Glass and shiny Surface,5000,0
6642928000000165161,Glass Cleaner Hamfex,,Hamfex,2700,0
6642928000000165192,Leather & vinyl Cleaner,,all leather and vinyl surface,7500,6
6642928000000165223,Hand Sanitizer,,28 mile DISTILLING CO,2300,1
6642928000000165254,Chamois Cleaner,,soaks up moisture fast,8000,2
6642928000000165285,Wind Block Air freshener,,Wind Block air freshner,600,8
6642928000000165316,Ikeda Liquid (small),,liquid air freshner,10000,0
6642928000000165347,Ikeda Liquid (big),,liquid air freshner,15000,0
6642928000000165378,Initial,,Peach Nectar,25000,5
6642928000000165409,Ikeda Scent,,Ceramic airf refreshment,7000,5
6642928000000165440,Astonish Stain Remover,,clears tough stains,6500,0
6642928000000165471,anti bacterial surface cleaner Astonish,,Kills 99.9% of bacteria,6500,2
6642928000000165502,Astonish Oxy Active Fabric Stain Remover,,clears tough stains,6500,1
6642928000000165533,Tile Grout cleaner,,Whitens white grout,7000,3
6642928000000165564,Tile & Joint Cleaner,,no acid added,2500,4
6642928000000165595,Bingosil Fresh,,cleaning agent,2800,1
6642928000000165626,Clean All Abro Masters,,all purpose automotive foam c leaner,3500,1
6642928000000165657,Multipurpose Foamy Cleaner,,foamy cleaner,3500,1
6642928000000165688,The pink stuff  The miracle laundry,,oxi stain remover,12000,1
6642928000000165719,The pink stuff the cleaning paste,,oxi stain remover,8000,3
6642928000000165750,the pink stuff Miracle Multipurpose Cleaner,,oxi stain remover,12000,1
6642928000000165781,2sure multipourpose liquid wash,,3.6L liquid wash,5000,1
6642928000000165812,Deep Action cream cleaner,,combat greese & germs,3000,3
6642928000000165843,Syntethic Chamois,,Super absorbent,8000,2
6642928000000165874,Disposable Bedroom Slippers,,Disposable Bedroom Slippers,2000,12
6642928000000165905,Morning Fresh,,Dishwashing Liquid 1000Ml,3000,0
6642928000000165936,2sure Original (1000ml),,Dishwasing Liquid 1000ml,2800,0
6642928000000165967,Bravo Max power,,Dishwashing liquid 500ml,1300,2
6642928000000165998,2sure Original Dishwashing Liquid 250ml,,Dishwashing Liquid 250ml,750,0
6642928000000166029,Hypo Toilet Cleaner (750Ml),,750ml,5000,0
6642928000000166060,Hypo Toilet Cleaner (450 Ml),,450ml,3500,0
6642928000000166091,CIF Cleaningboost cream,,500ml,4500,11
6642928000000166122,Harpic Power Plus 10X 45ml,,Clean and Protect,3000,0
6642928000000166153,Jik Regular,,950ml,4500,3
6642928000000166184,Hypo whitener Disinfentant,,1l,4000,10
6642928000000166215,Household handgloves,,,1000,4
6642928000000166246,handgloves Heavyduty,,Sungloves,1300,7
6642928000000166277,Red Hand Gloves,,Red safety,1600,10
6642928000000166308,Big Pack Windolene,,Glass & Shiny Surfaces,5000,3
6642928000000166339,Windolene Diamond Shine,,Glass and shiny Surface,5000,0
6642928000000166370,Disposable facemask,,Imate 3play,50,40
6642928000000166401,ITE german brush,,wooden handbrush,2000,5
6642928000000166432,"Paint brush (big) 4""",,red,800,7
6642928000000166463,"Paint brush (Medium) 3""",,red,700,9
6642928000000166494,"Paint brush (Small) 2""",,red,500,3
6642928000000166525,Caution Mop Bucket,,yellow caution bucket 20litres (Industrial Cleaning Bucket),55000,0
6642928000000166556,Scrubbing pad (White),,Buffing pad,20000,0
6642928000000166587,Scrubbing pad (Black),,,20000,6
6642928000000166618,Scrubbing brush,,,40000,1
6642928000000166649,Toilet Bag,,wears when going to toilet,2500,1
6642928000000166680,Albrite Carpet and Upholstery Cleaner (4ltr),,Carpet and upholstery cleaner,8500,2
6642928000000166711,Albrite Cleaner (1lt),,Carpet and upholstery cleaner,2700,4
6642928000000166742,Izal (Disinfectant 1L),,Disinfectant 1L,4700,0
6642928000000166773,Izal (Disinfectant 150ml),,Disinfectant 150ml,1000,0
6642928000000166804,Olivia Tile/floor Cleaner,,floor cleaner,2600,0
